"long","lat","country"
-47.2757,-23.3004,BR
-38.5257,-3.7196,BR
-47.0674,-22.9095,BR
-43.2192,-22.8305,BR
-48.7459,-26.7558,BR
-46.5638,-23.6266,BR
-64.05,-8.9667,BR
-49.9952,-22.1871,BR
-49.2591,-16.6397,BR
-43.2192,-22.8305,BR
-43.2813,-22.8769,BR
-46.8309,-23.5149,BR
-47.0439,-22.8951,BR
-42.9206,-20.407,BR
-47.9414,-19.5483,BR
-56.0958,-15.597,BR
-63.9031,-8.7674,BR
-43.2192,-22.8305,BR
-46.589,-23.131,BR
-34.9156,-7.9227,BR
-54.6152,-20.4498,BR
-61.9667,-10.8333,BR
-46.7827,-23.6116,BR
-46.6811,-21.2918,BR
-49.2539,-16.6786,BR
-47.8747,-21.9065,BR
-50.953,-29.9091,BR
-35.2727,-8.3497,BR
-50.0127,-20.4801,BR
-48.9987,-26.2659,BR
-54.1132,-25.2484,BR
-49.0164,-16.2886,BR
-50.4167,-21.2,BR
-46.7887,-23.5217,BR
-51.0616,0.0352,BR
-47.3823,-22.6097,BR
-49.0365,-28.4926,BR
-51.1782,-29.172,BR
-35.0147,-8.1128,BR
-37.492,-7.5907,BR
-45.9705,-23.293,BR
-49.3872,-28.721,BR
-40.4311,-11.1479,BR
-48.6187,-26.9981,BR
-35.1691,-6.0624,BR
-43.2192,-22.8305,BR
-48.3348,-19.0233,BR
-60.0278,-3.1145,BR
-50.292,-20.2976,BR
-42.4446,-21.0783,BR
-47.9341,-15.7792,BR
-41.5027,-17.8657,BR
-48.3148,-20.8762,BR
-52.4149,-26.8667,BR
-49.1812,-16.4388,BR
-44.078,-19.8836,BR
-36.0818,-9.1325,BR
-47.0098,-22.25,BR
-46.9472,-23.6704,BR
-38.4858,-12.8665,BR
-38.2167,-12.4833,BR
-43.0324,-22.8193,BR
-43.2192,-22.8305,BR
-43.4742,-19.7061,BR
-50.6781,-26.8852,BR
-43.3827,-22.7096,BR
-44.1267,-15.1948,BR
-51.0958,-29.9218,BR
-38.6254,-12.7381,BR
-48.5579,-21.2501,BR
-39.5176,-6.1131,BR
-46.4445,-23.413,BR
-34.9503,-8.0102,BR
-44.2795,-19.4363,BR
-41.3304,-21.7523,BR
-37.1332,-8.741,BR
-38.515,-4.1146,BR
-52.15,-28.6667,BR
-43.2192,-22.8305,BR
-37.0478,-6.4471,BR
-62.2458,-1.7824,BR
-40.1469,-19.3577,BR
-49.2916,-25.5026,BR
-43.2192,-22.8305,BR
-40.7433,-5.2508,BR
-47.0092,-21.4438,BR
-47.0256,-24.2885,BR
-46.589,-23.131,BR
-43.2192,-22.8305,BR
-48.9039,-27.1134,BR
-44.6799,-19.5123,BR
-43.8417,-21.2503,BR
-50.7754,-29.3471,BR
-46.6322,-23.63,BR
-51.7915,-16.9599,BR
-45.9076,-22.2527,BR
-49.2916,-25.5026,BR
-43.0909,-22.8871,BR
-46.4445,-23.413,BR
-35.873,-7.2246,BR
-49.3794,-20.8197,BR
-43.2192,-22.8305,BR
-49.1364,-22.2635,BR
-42.6447,-21.5349,BR
-49.2591,-16.6397,BR
-47.3361,-20.5688,BR
-40.8657,-20.7476,BR
-43.2192,-22.8305,BR
-34.9738,-8.1457,BR
-50.5181,-25.444,BR
-48.9619,-21.1289,BR
-50.5581,-20.2888,BR
-54.717,-18.2126,BR
-47.9414,-19.5483,BR
-46.8445,-20.7857,BR
-47.9341,-15.7792,BR
-49.0976,-26.8768,BR
-46.6322,-23.63,BR
