sourceaddress,destinationaddress,destinationport,geocity,countrycode
"136.226.19.195","162.92.181.77","80","UNKNOWN","US"
"172.19.4.169","35.155.4.115","443","unknown","unknown"
"172.20.8.150","17.253.17.211","80","unknown","unknown"
"172.19.4.181","142.250.72.170","443","unknown","unknown"
"92.63.197.83","162.92.191.36","3398","UNKNOWN","RU"
"162.92.191.83","51.105.71.136","443","UNKNOWN","US"
"172.20.15.158","23.67.88.165","443","unknown","unknown"
"35.146.205.129","162.92.181.77","443","UNKNOWN","US"
"172.19.5.207","144.9.61.3","443","unknown","unknown"
"162.92.191.88","8.248.153.254","80","UNKNOWN","US"
"167.94.145.60","10.242.76.31","80","UNKNOWN","US"
"172.20.17.227","185.46.212.89","9400","unknown","unknown"
"89.248.165.52","162.92.128.169","4153","UNKNOWN","NL"
"172.19.5.242","20.189.173.10","443","unknown","unknown"
"45.232.152.178","10.245.9.114","80","Pampa del Infierno","AR"
"172.19.5.203","54.77.235.207","443","unknown","unknown"
"172.19.4.138","17.248.188.175","443","unknown","unknown"
"92.63.197.83","162.92.181.13","3396","UNKNOWN","RU"
"172.19.4.210","3.215.231.251","443","unknown","unknown"
"169.61.155.163","162.92.181.3","8767","UNKNOWN","US"
"92.118.161.21","162.92.128.170","30005","UNKNOWN","LT"
"162.92.191.84","52.8.219.238","443","UNKNOWN","US"
"148.78.1.73","162.92.181.77","443","San Francisco","US"
"66.198.8.168","10.234.148.33","443","UNKNOWN","US"
"92.63.197.83","162.92.128.242","3393","UNKNOWN","RU"
"162.92.191.87","20.189.173.9","443","UNKNOWN","US"
"72.211.26.18","162.92.181.77","80","Newport Beach","US"
"23.210.209.66","10.244.9.123","443","UNKNOWN","US"
"89.248.165.52","162.92.128.31","57114","UNKNOWN","NL"
"222.186.19.235","162.92.128.231","81","UNKNOWN","CN"
"97.81.3.88","162.92.181.77","80","Kingsport","US"
"92.63.197.83","162.92.128.156","3395","UNKNOWN","RU"
"169.63.78.230","162.92.181.3","8772","Ashburn","US"
"68.80.52.46","10.245.8.188","80","King of Prussia","US"
"172.20.9.9","52.96.40.242","443","unknown","unknown"
"136.28.241.16","162.92.181.77","80","Miami","US"
"172.58.129.128","162.92.181.77","443","UNKNOWN","US"
"92.63.197.83","162.92.181.76","3396","UNKNOWN","RU"
"92.63.197.83","162.92.181.1","3402","UNKNOWN","RU"
"172.19.5.176","17.248.188.83","443","unknown","unknown"
"172.58.99.31","162.92.181.77","80","Houston","US"
"162.221.192.90","10.234.20.24","80","Los Angeles","US"
"172.20.17.109","185.46.212.88","9400","unknown","unknown"
"172.19.5.163","144.9.63.166","443","unknown","unknown"
"201.195.231.162","162.92.181.77","443","UNKNOWN","CR"
"136.49.92.119","162.92.181.77","443","Austin","US"
"162.92.191.81","8.240.25.126","80","UNKNOWN","US"
"162.92.191.82","51.132.193.105","443","UNKNOWN","US"
"76.185.32.241","162.92.181.11","443","DeSoto","US"
"162.92.191.81","135.181.59.57","443","UNKNOWN","US"
"203.122.51.217","162.92.181.77","80","New Delhi","IN"
"172.20.16.114","185.46.212.89","9400","unknown","unknown"
"76.172.78.154","162.92.181.77","80","San Diego","US"
"69.31.138.101","10.245.9.118","443","UNKNOWN","US"
"117.158.62.74","162.92.181.42","25140","UNKNOWN","CN"
"104.206.128.74","162.92.181.21","465","Las Vegas","US"
"66.36.234.42","162.92.181.119","5060","Kansas City","US"
"89.248.163.150","162.92.128.236","139","UNKNOWN","NL"
"87.248.171.247","162.92.181.77","443","Chisinau","MD"
"162.92.191.80","20.189.173.2","443","UNKNOWN","US"
"172.19.5.82","17.253.17.212","80","unknown","unknown"
"72.83.143.45","162.92.181.77","443","Washington","US"
"174.208.100.8","162.92.181.77","443","UNKNOWN","US"
"172.19.5.47","52.46.129.152","443","unknown","unknown"
"75.136.115.122","162.92.181.77","443","Gaffney","US"
"92.63.197.83","162.92.128.181","3393","UNKNOWN","RU"
"172.58.197.50","162.92.181.77","443","UNKNOWN","US"
"172.19.5.103","96.17.145.146","443","unknown","unknown"
"204.62.118.149","162.92.181.77","443","Chicago","US"
"107.77.216.4","162.92.181.77","443","Miami","US"
"172.19.5.183","17.248.188.105","443","unknown","unknown"
"45.19.194.77","162.92.181.77","443","Austin","US"
"172.19.5.203","34.211.63.60","443","unknown","unknown"
"104.206.128.62","162.92.180.68","389","Las Vegas","US"
"185.94.111.1","162.92.128.237","179","UNKNOWN","RU"
"172.19.4.99","17.248.188.175","443","unknown","unknown"
"192.53.170.243","10.245.8.104","80","UNKNOWN","US"
"172.19.5.163","17.248.188.72","443","unknown","unknown"
"172.19.5.183","17.248.188.137","443","unknown","unknown"
"172.19.4.62","17.248.174.5","443","unknown","unknown"
"104.206.128.58","162.92.128.158","8085","Las Vegas","US"
"173.235.220.91","162.92.181.77","443","UNKNOWN","US"
"169.61.185.74","162.92.181.3","8766","UNKNOWN","US"
"172.19.4.245","17.248.188.72","443","unknown","unknown"
"172.19.4.197","17.248.188.145","443","unknown","unknown"
