sourceaddress,destinationaddress,destinationport,geocity,countrycode
"72.191.251.45","162.92.181.77","443","Garland","US"
"162.92.191.80","35.81.132.172","443","UNKNOWN","US"
"66.249.80.25","162.92.181.77","443","UNKNOWN","US"
"68.99.233.131","162.92.181.77","80","Gilbert","US"
"172.19.4.89","17.248.188.173","443","unknown","unknown"
"65.117.212.85","162.92.181.77","443","Steamboat Springs","US"
"107.189.8.191","10.245.9.55","80","Cheyenne","US"
"172.19.5.220","157.240.2.20","443","unknown","unknown"
"172.19.5.51","142.250.217.142","443","unknown","unknown"
"68.84.111.85","162.92.181.77","443","Philadelphia","US"
"94.102.49.193","162.92.191.92","4800","UNKNOWN","NL"
"35.139.204.230","162.92.181.77","80","UNKNOWN","US"
"162.92.191.82","20.42.65.90","443","UNKNOWN","US"
"162.92.191.84","146.112.55.221","443","UNKNOWN","US"
"162.92.191.81","142.251.116.155","443","UNKNOWN","US"
"3.221.27.116","10.244.8.217","443","Ashburn","US"
"174.109.173.188","162.92.181.11","443","Fuquay-Varina","US"
"174.255.6.145","162.92.181.77","443","UNKNOWN","US"
"172.58.99.31","162.92.181.77","443","Houston","US"
"139.177.198.55","162.92.191.66","138","UNKNOWN","US"
"75.48.37.124","162.92.181.36","443","Irving","US"
"200.205.90.50","162.92.181.77","443","Ṣo Paulo","BR"
"172.20.15.156","17.253.26.125","123","unknown","unknown"
"172.19.4.42","162.92.181.57","8443","unknown","unknown"
"92.118.161.57","162.92.128.100","1434","UNKNOWN","LT"
"172.19.4.192","17.248.188.77","443","unknown","unknown"
"89.248.163.150","162.92.128.182","139","UNKNOWN","NL"
"161.35.236.158","187.141.182.206","53","New York","US"
"23.90.160.130","10.244.8.207","80","Castro Valley","US"
"162.92.191.81","20.44.10.123","443","UNKNOWN","US"
"165.225.220.160","162.92.181.77","443","UNKNOWN","US"
"172.19.4.74","17.248.193.63","443","unknown","unknown"
"172.20.13.35","50.205.244.22","123","unknown","unknown"
"198.73.222.6","162.92.181.77","137","UNKNOWN","US"
"61.219.11.151","162.92.128.51","443","Taipei","TW"
"172.19.4.245","35.166.150.193","443","unknown","unknown"
"104.206.128.66","162.92.128.72","1443","Las Vegas","US"
"172.19.5.183","17.248.188.70","443","unknown","unknown"
"162.92.191.82","52.168.117.170","443","UNKNOWN","US"
"192.155.159.92","162.92.181.77","80","San Juan","PR"
"68.99.195.136","162.92.177.7","443","Green Valley","US"
"172.19.5.5","96.16.55.69","443","unknown","unknown"
"162.92.191.85","104.73.240.132","443","UNKNOWN","US"
"76.72.0.90","162.92.181.77","443","Lafayette","US"
"144.129.3.211","162.92.181.77","443","UNKNOWN","US"
"89.248.169.12","162.92.181.71","5900","UNKNOWN","NL"
"104.129.207.103","162.92.181.77","443","Atlanta","US"
"66.74.92.127","162.92.181.77","443","Rancho Mirage","US"
"162.92.191.84","67.26.241.254","80","UNKNOWN","US"
"181.66.137.19","162.92.181.77","443","Lima","PE"
"185.173.35.9","162.92.128.161","2443","UNKNOWN","DE"
"68.80.52.46","10.244.8.129","80","King of Prussia","US"
"162.92.191.87","52.168.117.170","443","UNKNOWN","US"
"169.61.185.187","162.92.181.3","8766","UNKNOWN","US"
"104.200.102.160","162.92.181.77","80","Bridgetown","BB"
"76.245.78.166","162.92.181.77","443","Jacksonville","US"
"185.94.111.1","162.92.191.79","179","UNKNOWN","RU"
"162.92.191.82","20.42.65.84","443","UNKNOWN","US"
"162.92.191.82","13.69.109.131","443","UNKNOWN","US"
"45.137.21.134","10.244.8.162","80","UNKNOWN","NL"
"137.135.11.222","13.86.136.241","4432","San Jose","US"
"162.92.191.80","142.250.65.78","443","UNKNOWN","US"
"182.35.249.211","187.141.181.218","123","UNKNOWN","CN"
"174.135.186.206","162.92.181.77","443","St. Petersburg","US"
"172.20.9.126","17.253.17.211","80","unknown","unknown"
"172.20.10.186","17.253.14.123","123","unknown","unknown"
"92.118.160.37","162.92.191.84","7777","UNKNOWN","LT"
"34.77.162.27","162.92.191.88","137","UNKNOWN","US"
"68.80.52.46","10.244.9.77","80","King of Prussia","US"
"92.118.160.41","162.92.181.23","9595","UNKNOWN","LT"
"172.19.5.203","54.201.178.103","443","unknown","unknown"
"172.19.5.163","144.9.61.3","443","unknown","unknown"
"71.72.104.76","162.92.181.77","443","Bowling Green","US"
"32.208.155.31","162.92.181.77","443","Bristol","US"
"185.173.35.25","162.92.128.173","10010","UNKNOWN","DE"
"68.96.231.97","162.92.181.77","443","North Las Vegas","US"
"172.19.5.200","104.123.71.238","443","unknown","unknown"
"172.19.4.89","17.248.188.170","443","unknown","unknown"
"75.84.105.2","162.92.181.77","443","UNKNOWN","US"
"207.38.233.74","162.92.181.77","443","Long Island City","US"
"66.36.234.42","162.92.181.157","5060","Kansas City","US"
"208.184.249.3","162.92.181.77","80","UNKNOWN","US"
"162.92.191.83","146.112.46.226","443","UNKNOWN","US"
"172.19.5.203","3.215.231.251","443","unknown","unknown"
"172.19.5.186","54.70.84.250","443","unknown","unknown"
"185.173.35.57","162.92.128.230","111","UNKNOWN","DE"
"162.92.191.86","52.200.156.59","443","UNKNOWN","US"
"172.20.10.199","52.108.79.15","443","unknown","unknown"
"162.92.191.86","20.42.65.84","443","UNKNOWN","US"
"162.92.191.82","23.73.207.74","443","UNKNOWN","US"
"169.62.152.56","162.92.181.3","8774","UNKNOWN","US"
"76.183.116.129","162.92.177.7","443","The Colony","US"
"172.19.5.6","17.248.188.79","443","unknown","unknown"
"172.19.5.220","17.248.174.16","443","unknown","unknown"
"172.19.5.167","17.248.188.170","443","unknown","unknown"
"172.19.4.82","142.250.217.142","443","unknown","unknown"
"35.242.149.15","162.92.128.195","139","Mountain View","US"
"89.248.169.12","162.92.128.117","5900","UNKNOWN","NL"
"24.60.47.200","162.92.181.77","443","Hingham","US"
"92.63.197.83","162.92.128.249","3391","UNKNOWN","RU"
"66.55.119.47","162.92.181.77","80","Hamilton","BM"
"222.186.19.235","162.92.181.59","81","UNKNOWN","CN"
"92.63.197.83","162.92.181.55","3402","UNKNOWN","RU"
"71.131.64.125","162.92.177.7","443","Prosper","US"
"172.19.5.126","142.250.68.106","443","unknown","unknown"
"162.92.191.85","13.33.62.63","443","UNKNOWN","US"
"162.92.191.83","104.208.16.90","443","UNKNOWN","US"
"104.206.128.22","162.92.128.208","9997","Las Vegas","US"
"64.5.93.5","162.92.181.77","443","UNKNOWN","US"
"162.92.191.85","142.250.72.138","443","UNKNOWN","US"
"73.104.70.246","162.92.181.77","443","Yulee","US"
"68.80.52.46","10.245.8.237","80","King of Prussia","US"
"24.190.245.158","162.92.181.77","443","Poughkeepsie","US"
"157.41.80.241","162.92.181.77","443","Bhubaneswar","IN"
"92.118.161.37","162.92.128.25","21242","UNKNOWN","LT"
"185.94.111.1","162.92.128.5","179","UNKNOWN","RU"
"162.92.191.80","13.89.179.9","443","UNKNOWN","US"
"40.94.25.42","162.92.181.77","443","UNKNOWN","US"
"174.197.6.200","162.92.181.77","443","Vernon Hills","US"
"50.198.47.241","162.92.181.77","443","Shorewood","US"
"152.132.1.16","162.92.181.77","443","Orlando","US"
"76.188.48.60","162.92.181.77","443","Ashtabula","US"
"80.82.77.139","162.92.128.255","1962","UNKNOWN","NL"
"117.158.62.74","162.92.180.69","26761","UNKNOWN","CN"
"52.144.111.68","162.92.181.77","443","Weatherford","US"
"172.20.16.182","17.253.14.253","123","unknown","unknown"
"92.63.197.83","162.92.128.155","3393","UNKNOWN","RU"
"172.19.4.149","3.215.231.251","443","unknown","unknown"
"172.58.141.30","162.92.181.77","443","St Louis","US"
"104.15.116.124","162.92.181.11","443","Homestead","US"
"172.20.11.204","185.46.212.89","9400","unknown","unknown"
"73.75.251.230","162.92.181.77","443","Saint Charles","US"
"92.63.197.83","162.92.128.193","3403","UNKNOWN","RU"
"45.137.21.134","10.194.128.20","80","UNKNOWN","NL"
"92.63.197.83","162.92.181.78","3403","UNKNOWN","RU"
"172.19.4.75","17.248.188.144","443","unknown","unknown"
"174.80.217.14","162.92.181.77","443","UNKNOWN","US"
"192.241.209.121","162.92.181.68","443","San Francisco","US"
"104.206.128.26","162.92.128.50","8085","Las Vegas","US"
"80.82.77.139","162.92.181.41","5555","UNKNOWN","NL"
"139.177.196.189","162.92.128.109","138","UNKNOWN","US"
"172.72.162.124","162.92.181.77","443","Waxhaw","US"
"92.63.197.83","162.92.128.183","3400","UNKNOWN","RU"
"92.63.197.83","162.92.128.220","3397","UNKNOWN","RU"
"192.193.216.150","162.92.181.77","443","UNKNOWN","US"
"46.148.20.13","162.92.128.128","10055","Kyiv","UA"
"117.158.62.74","162.92.128.3","27575","UNKNOWN","CN"
"172.20.16.230","142.250.176.65","443","unknown","unknown"
"89.248.169.12","162.92.181.55","5900","UNKNOWN","NL"
"47.245.59.145","162.92.181.77","443","UNKNOWN","JP"
"162.92.191.87","51.105.71.137","443","UNKNOWN","US"
"162.92.191.83","13.78.111.199","443","UNKNOWN","US"
"92.63.197.83","162.92.181.8","3403","UNKNOWN","RU"
"104.129.199.54","162.92.181.77","80","Whittier","US"
"34.201.89.115","10.244.8.217","443","Ashburn","US"
"160.76.8.1","162.92.181.77","443","UNKNOWN","US"
"162.92.191.88","146.112.43.224","443","UNKNOWN","US"
"117.158.62.74","162.92.177.15","25033","UNKNOWN","CN"
"185.142.236.36","162.92.128.236","5008","UNKNOWN","NL"
"162.92.191.84","146.112.55.58","443","UNKNOWN","US"
"222.186.19.235","162.92.128.160","81","UNKNOWN","CN"
"70.231.77.161","162.92.181.11","443","Winston-Salem","US"
"31.4.185.130","162.92.181.77","443","Barcelona","ES"
"89.248.169.12","162.92.128.70","5900","UNKNOWN","NL"
"92.63.197.83","162.92.128.252","3398","UNKNOWN","RU"
"172.19.5.18","104.68.104.110","443","unknown","unknown"
"162.92.191.87","20.189.173.5","443","UNKNOWN","US"
"65.188.234.205","162.92.181.11","443","Thomasville","US"
"182.35.249.211","187.141.182.200","123","UNKNOWN","CN"
"68.80.52.46","10.245.8.69","80","King of Prussia","US"
"89.248.169.12","162.92.181.76","5900","UNKNOWN","NL"
"24.211.239.249","162.92.181.77","80","Apex","US"
"162.92.191.87","23.44.133.40","443","UNKNOWN","US"
"47.206.120.87","162.92.181.77","443","Tampa","US"
"172.19.5.170","17.248.188.72","443","unknown","unknown"
"172.19.4.107","20.50.201.200","443","unknown","unknown"
"169.62.152.37","162.92.181.3","8792","UNKNOWN","US"
"34.77.162.1","10.245.9.115","443","UNKNOWN","US"
"46.148.20.13","162.92.128.216","10055","Kyiv","UA"
"185.94.111.1","162.92.181.62","179","UNKNOWN","RU"
"136.226.73.84","162.92.181.77","443","UNKNOWN","US"
"172.19.5.194","34.215.125.8","443","unknown","unknown"
"204.155.123.94","162.92.181.77","443","Columbus","US"
"162.92.191.70","108.161.151.187","123","UNKNOWN","US"
"80.82.70.228","162.92.128.253","3000","Anse aux Pins","SC"
"70.163.229.253","162.92.181.77","443","Queen Creek","US"
"172.225.12.206","162.92.181.77","443","UNKNOWN","US"
"172.20.14.103","17.253.16.253","123","unknown","unknown"
"136.226.48.186","162.92.181.77","443","UNKNOWN","US"
"162.92.191.86","23.41.182.57","443","UNKNOWN","US"
"169.61.185.74","162.92.181.3","8788","UNKNOWN","US"
"72.238.208.4","162.92.181.77","443","Apopka","US"
"162.92.191.86","23.62.230.101","443","UNKNOWN","US"
"172.19.5.165","162.92.181.57","8443","unknown","unknown"
"139.180.244.123","162.92.181.77","443","Ashburn","US"
"162.92.191.85","146.112.239.201","443","UNKNOWN","US"
"99.178.84.102","162.92.181.77","80","Mansfield","US"
"172.20.16.230","17.248.188.172","443","unknown","unknown"
"104.244.78.87","10.244.9.60","80","Roost","LU"
"195.133.18.24","162.92.181.29","22","UNKNOWN","RU"
"36.110.228.254","162.92.128.224","22","Beijing","CN"
"162.92.191.83","23.197.44.58","443","UNKNOWN","US"
"172.19.5.208","96.16.55.109","443","unknown","unknown"
"172.19.5.56","52.96.188.146","443","unknown","unknown"
"92.118.161.25","162.92.128.91","5985","UNKNOWN","LT"
"162.92.191.83","51.104.15.252","443","UNKNOWN","US"
"199.67.140.45","162.92.181.77","443","UNKNOWN","US"
"162.92.191.84","13.69.109.130","443","UNKNOWN","US"
"92.118.160.33","162.92.191.66","5222","UNKNOWN","LT"
"162.92.191.84","20.189.173.14","443","UNKNOWN","US"
"172.19.5.136","20.50.80.209","443","unknown","unknown"
"67.60.84.136","162.92.181.77","80","Prescott","US"
"172.19.5.161","44.233.174.62","443","unknown","unknown"
"54.203.108.135","10.244.8.217","80","Boardman","US"
"162.92.191.71","66.228.48.38","123","UNKNOWN","US"
"162.92.191.84","54.156.48.24","443","UNKNOWN","US"
"104.206.128.26","162.92.181.75","8800","Las Vegas","US"
"172.19.4.239","159.127.41.105","443","unknown","unknown"
"172.58.196.251","162.92.181.77","443","UNKNOWN","US"
"204.62.119.242","162.92.181.77","443","Chicago","US"
"103.139.45.232","187.141.181.209","123","Da Nang","VN"
"94.102.49.193","162.92.128.65","5672","UNKNOWN","NL"
"162.92.191.84","51.132.193.105","443","UNKNOWN","US"
"172.19.5.146","54.70.84.250","443","unknown","unknown"
"172.20.9.9","52.114.142.203","443","unknown","unknown"
"169.62.152.60","162.92.181.3","8789","UNKNOWN","US"
"162.92.191.86","146.112.43.133","443","UNKNOWN","US"
"80.82.77.139","162.92.128.62","3001","UNKNOWN","NL"
"73.153.91.222","162.92.181.77","443","Fort Collins","US"
"199.67.138.49","162.92.181.77","443","UNKNOWN","US"
"172.19.4.231","20.189.173.10","443","unknown","unknown"
"166.137.115.41","162.92.177.17","443","Houston","US"
"162.92.191.88","23.67.88.132","443","UNKNOWN","US"
"92.63.197.83","162.92.128.160","3391","UNKNOWN","RU"
"172.19.5.212","17.253.5.208","80","unknown","unknown"
"162.92.191.87","44.232.229.196","443","UNKNOWN","US"
"89.248.168.112","162.92.128.202","9080","UNKNOWN","NL"
"172.19.4.242","54.68.225.43","443","unknown","unknown"
"57.219.74.209","57.216.146.225","123","UNKNOWN","FR"
"172.19.4.125","13.69.239.72","443","unknown","unknown"
"75.74.134.197","162.92.181.77","443","Hollywood","US"
"98.153.84.18","162.92.181.77","443","Los Angeles","US"
"162.92.191.87","20.189.173.13","443","UNKNOWN","US"
"139.177.198.43","162.92.128.115","138","UNKNOWN","US"
"174.105.150.254","162.92.181.77","443","Columbus","US"
"89.248.169.12","162.92.181.29","5900","UNKNOWN","NL"
"34.77.162.15","162.92.181.38","137","UNKNOWN","US"
"92.63.197.83","162.92.128.238","3393","UNKNOWN","RU"
"144.243.152.9","162.92.69.51","9093","UNKNOWN","US"
"206.208.222.33","162.92.181.77","443","Sioux Falls","US"
"172.19.4.169","142.250.72.170","443","unknown","unknown"
"35.182.104.198","10.244.8.217","80","Montreal","CA"
"89.248.165.52","162.92.181.57","7302","UNKNOWN","NL"
"172.19.5.151","52.8.131.30","443","unknown","unknown"
"172.19.5.56","17.248.188.147","443","unknown","unknown"
"185.94.111.1","162.92.128.69","179","UNKNOWN","RU"
"104.140.188.42","162.92.128.90","2082","Las Vegas","US"
"169.61.155.170","162.92.181.3","8792","UNKNOWN","US"
"4.31.138.178","162.92.181.77","443","Houston","US"
"162.92.191.84","20.50.73.9","443","UNKNOWN","US"
"104.206.128.42","162.92.181.80","17185","Las Vegas","US"
"174.87.221.21","162.92.181.77","80","Incline Village","US"
"162.92.191.88","20.42.65.88","443","UNKNOWN","US"
"94.102.49.193","162.92.128.132","6443","UNKNOWN","NL"
"66.249.64.167","162.92.181.77","443","UNKNOWN","US"
"108.2.207.4","162.92.181.77","443","Wilmington","US"
"172.58.120.54","162.92.181.77","443","Sterling Heights","US"
"172.19.4.239","63.251.109.132","443","unknown","unknown"
"172.105.189.111","10.97.124.154","80","Sydney","AU"
"73.126.68.241","162.92.181.77","80","Waterbury","US"
"172.20.12.153","13.89.178.27","443","unknown","unknown"
"206.130.131.157","162.92.181.77","443","Brewster","US"
"92.118.160.37","162.92.128.169","2443","UNKNOWN","LT"
"162.92.191.80","151.101.183.10","443","UNKNOWN","US"
"194.195.246.141","162.92.191.81","138","UNKNOWN","DE"
"96.6.117.35","10.244.8.67","443","UNKNOWN","US"
"162.92.191.86","52.168.112.66","443","UNKNOWN","US"
"222.186.19.235","162.92.128.132","81","UNKNOWN","CN"
"172.20.11.28","17.253.14.125","123","unknown","unknown"
"92.63.197.83","162.92.128.5","3410","UNKNOWN","RU"
"172.19.5.156","17.248.188.175","443","unknown","unknown"
"70.182.62.155","162.92.181.77","443","UNKNOWN","US"
"172.19.4.25","100.20.199.76","443","unknown","unknown"
"104.114.79.38","162.92.181.37","443","UNKNOWN","US"
"92.63.197.83","162.92.181.36","3403","UNKNOWN","RU"
"107.115.159.93","162.92.181.77","80","UNKNOWN","US"
"89.248.165.52","162.92.128.131","8086","UNKNOWN","NL"
"24.251.8.20","162.92.177.7","443","Phoenix","US"
"92.118.160.33","162.92.181.40","44818","UNKNOWN","LT"
"34.86.35.9","162.92.128.150","137","UNKNOWN","US"
"104.140.188.34","162.92.128.57","28080","Las Vegas","US"
"172.19.5.212","17.248.188.144","443","unknown","unknown"
"104.140.188.22","162.92.181.35","9595","Las Vegas","US"
"98.165.106.192","162.92.177.7","443","Chandler","US"
"184.103.226.59","162.92.177.7","443","Peoria","US"
"172.19.4.101","100.26.12.76","443","unknown","unknown"
"92.63.197.83","162.92.128.133","3397","UNKNOWN","RU"
"23.213.54.174","10.242.124.84","443","Dallas","US"
"172.19.5.38","17.248.174.8","443","unknown","unknown"
"93.174.95.106","162.92.128.53","1400","UNKNOWN","NL"
"172.19.4.164","162.92.181.57","8443","unknown","unknown"
"185.220.103.5","162.92.181.56","8443","UNKNOWN","DE"
"162.92.191.85","142.251.40.66","443","UNKNOWN","US"
"172.19.5.190","17.253.17.212","80","unknown","unknown"
"117.158.62.74","162.92.128.248","28966","UNKNOWN","CN"
"70.121.7.27","162.92.181.77","443","Frisco","US"
"172.19.5.117","17.253.17.211","80","unknown","unknown"
"162.92.191.82","20.189.173.3","443","UNKNOWN","US"
"172.19.5.207","17.248.188.144","443","unknown","unknown"
"92.63.197.83","162.92.128.112","3393","UNKNOWN","RU"
"89.248.165.52","162.92.191.65","7302","UNKNOWN","NL"
"80.82.70.228","162.92.128.240","7001","Anse aux Pins","SC"
"71.71.42.53","162.92.181.11","443","Clemmons","US"
"172.19.4.241","17.253.17.212","80","unknown","unknown"
"172.19.5.55","17.253.5.208","80","unknown","unknown"
"162.92.191.80","52.88.252.250","443","UNKNOWN","US"
"172.20.8.150","17.253.4.125","123","unknown","unknown"
"172.19.4.108","17.248.188.147","443","unknown","unknown"
"45.17.42.167","162.92.181.11","443","Miami","US"
"107.189.13.118","187.216.69.238","123","Cheyenne","US"
"172.20.16.79","185.46.212.88","9400","unknown","unknown"
"57.220.211.146","57.211.65.133","123","UNKNOWN","FR"
"172.20.15.71","52.96.182.114","443","unknown","unknown"
"89.248.168.112","162.92.128.246","9080","UNKNOWN","NL"
"128.175.91.78","162.92.181.77","443","Newark","US"
"40.94.87.46","162.92.181.77","443","Amsterdam","NL"
"89.248.169.12","162.92.128.86","5900","UNKNOWN","NL"
"172.20.17.83","23.62.161.242","443","unknown","unknown"
"94.102.49.193","162.92.191.82","3310","UNKNOWN","NL"
"80.82.70.228","162.92.128.184","3000","Anse aux Pins","SC"
"92.63.197.83","162.92.128.242","3416","UNKNOWN","RU"
"172.19.5.65","17.248.188.79","443","unknown","unknown"
"172.19.4.101","17.248.188.111","443","unknown","unknown"
"92.63.197.83","162.92.181.25","3402","UNKNOWN","RU"
"61.219.11.151","162.92.180.71","80","Taipei","TW"
"172.20.17.53","17.253.26.125","123","unknown","unknown"
"89.248.169.12","162.92.191.79","5900","UNKNOWN","NL"
"172.19.4.146","142.250.217.142","443","unknown","unknown"
"162.92.191.86","52.178.17.2","443","UNKNOWN","US"
"172.19.4.151","54.182.221.121","443","unknown","unknown"
"162.92.191.87","104.254.148.165","443","UNKNOWN","US"
"205.209.235.31","162.92.181.77","443","Wichita Falls","US"
"185.94.111.1","162.92.128.8","179","UNKNOWN","RU"
"222.186.19.235","162.92.128.179","81","UNKNOWN","CN"
"162.92.191.86","52.182.143.211","443","UNKNOWN","US"
"92.9.22.121","162.92.181.77","443","St Austell","GB"
"71.73.67.190","162.92.181.77","443","Cleveland","US"
"204.137.239.142","162.92.181.77","443","Thawville","US"
"172.19.4.197","54.201.174.152","443","unknown","unknown"
"172.19.5.242","50.31.142.95","443","unknown","unknown"
"172.19.4.141","144.9.63.31","443","unknown","unknown"
"162.92.191.81","20.189.173.6","443","UNKNOWN","US"
"92.63.197.83","162.92.128.182","3397","UNKNOWN","RU"
"172.19.4.137","52.96.166.178","443","unknown","unknown"
"89.248.168.112","162.92.181.3","9080","UNKNOWN","NL"
"172.19.4.239","204.236.189.129","443","unknown","unknown"
"97.41.128.98","162.92.181.77","443","UNKNOWN","US"
"50.0.178.228","162.92.181.77","443","Novato","US"
"172.20.10.186","17.253.14.125","123","unknown","unknown"
"169.61.155.163","162.92.181.3","8745","UNKNOWN","US"
"66.36.234.42","162.92.181.196","5060","Kansas City","US"
"172.20.17.226","10.194.5.24","80","unknown","unknown"
"104.206.128.78","162.92.177.15","3443","Las Vegas","US"
"71.6.199.23","162.92.128.181","137","Henderson","US"
"50.116.19.122","187.141.182.197","53","Dallas","US"
"172.20.16.151","52.43.118.59","443","unknown","unknown"
"162.92.191.70","217.180.209.214","123","UNKNOWN","US"
"172.20.10.121","17.253.20.125","123","unknown","unknown"
"162.92.191.83","69.67.146.111","443","UNKNOWN","US"
"162.92.191.87","142.250.68.106","443","UNKNOWN","US"
"162.92.191.80","146.112.43.212","443","UNKNOWN","US"
"209.94.68.254","162.92.181.77","443","San Antonio","US"
"162.92.191.86","104.254.148.83","443","UNKNOWN","US"
"216.152.106.25","162.92.181.77","443","UNKNOWN","US"
"89.248.165.52","162.92.128.241","8086","UNKNOWN","NL"
"162.92.191.71","206.82.16.3","123","UNKNOWN","US"
"92.63.197.83","162.92.128.237","3391","UNKNOWN","RU"
"162.92.191.87","142.251.116.95","443","UNKNOWN","US"
"104.114.79.84","10.194.8.128","443","UNKNOWN","US"
"139.71.144.2","162.92.181.77","443","Scottsdale","US"
"185.173.35.1","162.92.128.155","6001","UNKNOWN","DE"
"162.92.191.80","13.89.179.10","443","UNKNOWN","US"
"68.80.52.46","10.244.9.123","80","King of Prussia","US"
"172.19.5.186","17.248.188.145","443","unknown","unknown"
"162.92.191.87","40.79.197.35","443","UNKNOWN","US"
"162.92.191.71","97.107.128.165","123","UNKNOWN","US"
"92.118.160.17","162.92.128.70","9080","UNKNOWN","LT"
"107.115.41.50","162.92.181.77","80","UNKNOWN","US"
"67.177.227.63","162.92.181.77","443","Denver","US"
"72.107.26.159","162.92.181.77","80","UNKNOWN","US"
"172.19.5.209","17.248.188.175","443","unknown","unknown"
"162.92.191.88","52.178.17.3","443","UNKNOWN","US"
"107.189.8.191","10.97.124.174","80","Cheyenne","US"
"92.63.197.83","162.92.128.175","3397","UNKNOWN","RU"
"172.19.4.139","144.9.61.3","443","unknown","unknown"
"172.19.4.75","96.16.55.102","443","unknown","unknown"
"23.210.209.63","10.244.9.97","80","UNKNOWN","US"
"89.248.168.112","162.92.128.239","9080","UNKNOWN","NL"
"206.248.51.42","162.92.181.77","80","Midlothian","US"
"76.102.16.76","162.92.181.77","443","Los Gatos","US"
"172.20.11.28","17.253.4.253","123","unknown","unknown"
"172.19.5.119","172.217.14.106","443","unknown","unknown"
"117.199.89.40","10.244.9.135","80","Amritsar","IN"
"162.92.191.81","13.78.111.198","443","UNKNOWN","US"
"172.19.5.212","104.68.104.110","443","unknown","unknown"
"172.19.5.234","17.248.188.170","443","unknown","unknown"
"172.19.5.201","144.9.63.31","443","unknown","unknown"
"172.19.5.6","44.242.53.50","443","unknown","unknown"
"94.102.49.190","162.92.128.161","9306","UNKNOWN","NL"
"172.19.5.173","99.80.4.187","5223","unknown","unknown"
"96.126.98.163","162.92.181.22","138","Fremont","US"
"157.174.221.170","162.92.181.77","443","Jacksonville","US"
"71.90.149.58","162.92.181.77","443","Fenton","US"
"162.92.191.86","209.58.175.43","443","UNKNOWN","US"
"103.146.220.220","10.242.126.97","80","unknown","unknown"
"46.121.23.162","162.92.181.77","443","Misgav Regional Council","IL"
"172.19.5.119","216.58.195.66","443","unknown","unknown"
"162.92.191.85","52.27.128.188","443","UNKNOWN","US"
"34.209.136.40","162.92.181.77","443","Boardman","US"
"172.20.14.216","45.79.51.42","123","unknown","unknown"
"75.16.176.79","162.92.177.7","443","Dallas","US"
"98.34.160.215","162.92.181.77","443","UNKNOWN","US"
"92.63.197.83","162.92.181.33","3392","UNKNOWN","RU"
"144.243.152.4","162.92.69.51","9093","UNKNOWN","US"
"65.186.30.134","162.92.181.77","443","Springfield","US"
"73.231.190.227","162.92.181.77","443","Palo Alto","US"
"32.217.133.30","162.92.181.77","443","Waterbury","US"
"98.152.176.114","162.92.181.77","443","Los Angeles","US"
"104.140.188.2","162.92.128.2","5906","Las Vegas","US"
"24.165.49.223","162.92.181.77","443","Kapaa","US"
"80.82.77.139","162.92.128.1","5172","UNKNOWN","NL"
"104.206.128.66","162.92.128.226","17778","Las Vegas","US"
"92.63.197.83","162.92.181.39","3418","UNKNOWN","RU"
"45.137.21.134","10.97.124.174","80","UNKNOWN","NL"
"162.92.191.86","54.215.223.193","443","UNKNOWN","US"
"76.182.127.180","10.244.9.184","80","Goldsboro","US"
"169.61.185.187","162.92.181.3","8774","UNKNOWN","US"
"52.35.37.180","162.92.181.11","443","Boardman","US"
"128.14.134.134","10.245.8.189","80","Cerritos","US"
"162.92.191.82","13.89.178.27","443","UNKNOWN","US"
"185.173.35.21","162.92.128.120","990","UNKNOWN","DE"
"162.92.191.86","20.189.173.5","443","UNKNOWN","US"
"24.173.176.225","162.92.181.77","80","Uvalde","US"
"172.19.4.107","104.46.162.226","443","unknown","unknown"
"47.44.236.10","162.92.181.77","443","UNKNOWN","US"
"192.3.249.226","10.245.8.101","80","Seattle","US"
"162.92.191.87","20.42.73.27","443","UNKNOWN","US"
"66.177.63.10","162.92.181.77","443","Jacksonville Beach","US"
"172.19.5.65","17.248.188.102","443","unknown","unknown"
"165.225.230.94","162.92.181.11","443","UNKNOWN","US"
"162.92.191.81","23.216.149.198","443","UNKNOWN","US"
"68.192.47.238","162.92.181.77","443","Brooklyn","US"
"172.20.9.242","17.253.20.253","123","unknown","unknown"
"162.92.191.86","13.69.109.131","443","UNKNOWN","US"
"162.92.191.80","20.42.65.88","443","UNKNOWN","US"
"89.248.168.112","162.92.128.218","9080","UNKNOWN","NL"
"162.92.191.81","20.50.201.200","443","UNKNOWN","US"
"89.248.168.112","162.92.191.91","9080","UNKNOWN","NL"
"162.92.191.71","216.229.0.50","123","UNKNOWN","US"
"71.15.118.38","162.92.181.77","443","Burleson","US"
"172.19.5.218","162.92.181.57","8443","unknown","unknown"
"157.55.39.146","162.92.181.77","443","UNKNOWN","US"
"73.245.83.186","162.92.181.77","443","Delray Beach","US"
"159.49.254.53","162.92.181.77","443","Maple Valley","US"
"172.19.4.107","17.248.193.69","443","unknown","unknown"
"162.92.191.80","142.250.191.74","443","UNKNOWN","US"
"92.118.161.25","162.92.128.135","53","UNKNOWN","LT"
"178.79.189.12","162.92.128.20","138","London","GB"
"121.46.25.189","10.245.8.237","80","UNKNOWN","CN"
"23.63.234.28","162.92.181.77","443","UNKNOWN","US"
"162.92.191.87","23.67.88.132","443","UNKNOWN","US"
"185.220.100.241","10.245.9.230","443","UNKNOWN","DE"
"172.19.5.49","104.69.242.251","443","unknown","unknown"
"8.9.160.177","162.92.181.77","443","UNKNOWN","US"
